CODE_PARAMETRE;NOM_PARAMETRE;STATUT_PARAMETRE;NOM_PARAMETRE_COURT;NOM_PARAMETRE_LONG;CLASSE_1;CLASSE_2;CLASSE_3;CLASSE_4;USAGE_1;USAGE_2;USAGE_3;USAGE_4;REGLEMENT_1;REGLEMENT_2;REGLEMENT_3;REGLEMENT_4;PARAMETRE_ADES;CODE_UNITE_ADES;LIBELLE_UNITE_ADES
0;Phenazine;Gelé;Phenazine;Phenazine;;;;;;;;;;;;;oui;133;microgramme par litre
1021;Matières organiques dissoutes (M.O.D.);Validé;MOD;Matières org. dissoutes;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;1;absorbance par mètre
1028;Polychlorobiphényles Chlophen;Validé;PCBChlop;PCB Chlophen;Paramètres classés par classe;Chimique;Micropolluants organiques;PCB (arochlors), PCT, Dioxines, Furanes (PCDD, PCDF);;;;;;;;;oui;133;microgramme par litre
1029;Test algue;Validé;Test algue;Test algue;Paramètres classés par classe;Biologique;Microbiologique;;Paramètres classés par usage;Ecotox;;;;;;;oui;243;pourcentage
1030;Strontium 90;Validé;Sr 90;Strontium 90;Paramètres classés par classe;Chimique;Radioactifs, isotopes et traceurs;;;;;;;;;;oui;9;Becquerel par litre
1031;Césium 137;Validé;Césium 137;Césium 137;Paramètres classés par classe;Chimique;Radioactifs, isotopes et traceurs;;;;;;;;;;oui;9;Becquerel par litre
1032;Polychlorobiphényles totaux;Gelé;PCB totaux;PCB totaux;;;;;;;;;;;;;oui;133;microgramme par litre
1033;Code gelé en 2003 (Activité spécifique du Tritium);Gelé;Code gelé;Code gelé (Activité Trit);;;;;;;;;;;;;oui;9;Becquerel par litre
1034;Activité alpha globale;Validé;Acti.alpha;Activité alpha globale;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;9;Becquerel par litre
1035;Activité bêta globale;Validé;Acti.bêta;Activité bêta globale;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;9;Becquerel par litre
1036;Activité bêta due au potassium 40;Validé;Acti.B K40;Activité B due K40;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;9;Becquerel par litre
1037;METOX;Validé;METOX;METOX;Paramètres classés par classe;Chimique;Metaux et métalloïdes;;;;;;;;;;oui;133;microgramme par litre
1038;Azote oxydé;Validé;N.Oxydé;Azote oxydé;Paramètres classés par classe;Chimique;Paramètres azotés;;;;;;;;;;oui;168;milligramme d'azote par litre
1039;Matières oxydables;Validé;M.O;M.O;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;162;milligramme par litre
1040;Micro-organismes revivifiables à 20°C;Validé;M.Org.20°;Micro-org. reviv. à 20°C;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;223;nombre pour 10 millilitres
1041;Micro-Organismes revivifiables à 37° C;Validé;M.Org. 37°;Micro-Org. reviv. à 37° C;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;228;nombre par litre
1042;Spores de micro-organismes anaérobies sulfito-réducteurs;Validé;S sulf.réd;Spores sulfito-réducteurs;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;530;Nombre par centimètre cube
1043;Spores de Clostridium sulfito-réducteurs;Validé;C Sulf.réd;Spor. Clostr. sulfito-réd;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;546;millions de cellules par litre
1044;Spores de Clostridium perfringens;Validé;S.Clost.pe;Spor. Clostr. perfringens;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;223;nombre pour 10 millilitres
1045;Clostridium perfringens;Validé;Clostrid.;Clostridium perfringens;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;222;nombre par mL
1046;Pseudomonas aeruginosa;Validé;Pseud.Aer.;Pseudomonas aeruginosa;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;263;unité formant des colonies par millilitre
1047;Legionella spp;Validé;Legionella;Legionella spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;263;unité formant des colonies par millilitre
1048;Legionella pneumophila;Validé;Legion. Pn;Legionella pneumophila;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;227;nombre pour 250 millilitres
1049;Staphylocoques pathogènes;Validé;Staph. Pat;Staphylocoques pathogènes;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;226;nombre pour 100 millilitres
1050;Shigella spp;Validé;Shigella;Shigella spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;531;Nombre par mètre cube
1051;Vibrio spp;Validé;Vibrio spp;Vibrio spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;530;Nombre par centimètre cube
1052;Aeromonas spp;Validé;Aeromo. sp;Aeromonas spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;224;nombre pour 20 millilitres
1053;Dénombrement bactérien direct total;Validé;Dénbr. Bac;Dénbr. bact. direct tot.;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;546;millions de cellules par litre
1054;Bifidobacterium spp;Validé;Bifido. sp;Bifidobacterium spp;Paramètres classés par classe;Biologique;Microbiologique;;;;;;;;;;oui;559;unité formant des colonies par deux litres
